,source,title,address_line,city,postal_code,ph_no,state_name,state_code,country
0,1 Pak 'N Save Foods Location in ,Emeryville,3889 San Pablo Ave,Emeryville,94608,(510) 450-1200,California,CA,United States
0,1 Pak 'N Save Foods Location in ,Madera,2237 W Cleveland Ave,Madera,93637,(559) 661-6440,California,CA,United States
0,1 Pak 'N Save Foods Location in ,San Leandro,555 Floresta Blvd,San Leandro,94578,(510) 483-2681,California,CA,United States
0,2 Safeway Locations in ,Fairbanks,30 College Rd,Fairbanks,99701,(907) 456-8501,Alaska,AK,United States
0,1 Safeway Location in ,Homer,90 Sterling Hwy,Homer,99603,(907) 226-1000,Alaska,AK,United States
0,1 Safeway Location in ,Juneau,3033 Vintage Blvd,Juneau,99801,(907) 523-2000,Alaska,AK,United States
0,1 Safeway Location in ,Kenai,10576 Kenai Spur Hwy,Kenai,99611,(907) 283-6300,Alaska,AK,United States
0,1 Safeway Location in ,Ketchikan,2417 Tongass Ave,Ketchikan,99901,(907) 228-1900,Alaska,AK,United States
0,1 Safeway Location in ,Kodiak,2685 Mill Bay Rd,Kodiak,99615,(907) 481-1500,Alaska,AK,United States
0,1 Safeway Location in ,North Pole,301 N Santa Claus Ln,North Pole,99705,(907) 490-2700,Alaska,AK,United States
0,1 Safeway Location in ,Seward,1907 Seward Hwy,Seward,99664,(907) 224-6900,Alaska,AK,United States
0,1 Safeway Location in ,Soldotna,44428 Sterling Hwy,Soldotna,99669,(907) 714-5400,Alaska,AK,United States
0,1 Safeway Location in ,Unalaska,2029 Airport Beach Rd,Unalaska,99692,(907) 581-4040,Alaska,AK,United States
0,1 Safeway Location in ,Valdez,1313 Meals St,Valdez,99686,(907) 461-3300,Alaska,AK,United States
0,1 Safeway Location in ,Anthem,3655 W Anthem Way,Anthem,85086,(623) 745-3800,Arizona,AZ,United States
0,1 Safeway Location in ,Apache Junction,3185 W Apache Trail,Apache Junction,85120,(480) 982-6120,Arizona,AZ,United States
0,1 Safeway Location in ,Benson,599 W 4th St,Benson,85602,(520) 586-9094,Arizona,AZ,United States
