,source,title,address_line,city,postal_code,ph_no,state_name,state_code,country
0,Vons ,Kanan Rd,5671 Kanan Rd,Agoura,91301,(818) 991-2857,California,CA,United States
0,Vons ,Santa Ana Canyon Rd,8010 E Santa Ana Canyon Rd,Anaheim Hills,92808,(714) 282-7064,California,CA,United States
0,Vons ,Lincoln,130 W Lincoln,Anaheim,92805,(714) 535-2288,California,CA,United States
0,Vons ,Santa Ana Canyon Rd,5600 Santa Ana Canyon Rd,Anaheim,92807,(714) 998-3751,California,CA,United States
0,Vons ,E Naomi Ave,745 W Naomi Ave,Arcadia,91007,(626) 446-9483,California,CA,United States
0,Vons ,El Camino Real,7135 El Camino Real,Atascadero,93422,(805) 466-4949,California,CA,United States
0,Vons ,Sumner Ave,240 Sumner Ave,Avalon,90704,(424) 334-3221,California,CA,United States
0,Vons ,Coffee Rd,4500 Coffee Rd,Bakersfield,93308,(661) 589-0316,California,CA,United States
0,Vons ,Stockdale Hwy,5700 Stockdale Hwy,Bakersfield,93309,(661) 328-6950,California,CA,United States
0,Vons ,Ming Ave,9000 Ming Ave,Bakersfield,93311,(661) 663-0595,California,CA,United States
0,Vons ,Big Bear Blvd,42170 Big Bear Blvd,Big Bear Lake,92315,(909) 866-8459,California,CA,United States
0,Vons ,N Main St,1190 N Main St,Bishop,93514,(760) 872-9811,California,CA,United States
0,Vons ,Bonita Rd,4404 Bonita Rd,Bonita,91902,(619) 512-0125,California,CA,United States
0,Vons ,W Main St,475 W Main St,Brawley,92227,(760) 351-3002,California,CA,United States
0,Vons ,Brea Blvd,780 N Brea Blvd,Brea,92821,(714) 529-4941,California,CA,United States
0,Vons ,N Pass Ave,301 N Pass Ave,Burbank,91505,(818) 848-9542,California,CA,United States
0,Vons ,Mission Oaks Blvd,5275 Mission Oaks Blvd,Camarillo,93012,(805) 482-7933,California,CA,United States
0,Vons ,Arneill Rd,820 Arneill Rd,Camarillo,93010,(805) 482-8802,California,CA,United States
0,Vons ,El Camino Real,2560 El Camino Real,Carlsbad,92008,(760) 729-2771,California,CA,United States
0,Vons ,Via Montebello,3439 Via Montebello,Carlsbad,92009,(760) 633-0114,California,CA,United States
0,Vons ,El Camino Real,6951 El Camino Real,Carlsbad,92009,(760) 431-0157,California,CA,United States
0,Vons ,Tamarack Ave,985 Tamarack Ave,Carlsbad,92008,(760) 729-4722,California,CA,United States
0,Vons ,Devonshire St,20440 Devonshire St,Chatsworth,91311,(818) 341-7151,California,CA,United States
0,Vons ,Eastlake Pkwy,1745 Eastlake Pkwy,Chula Vista,91915,(619) 397-3467,California,CA,United States
0,Vons ,Otay Lakes Rd,2250 Otay Lakes Rd,Chula Vista,91915,(619) 656-0406,California,CA,United States
0,Vons ,Baseline Rd,550 E Baseline Rd,Claremont,91711,(909) 621-4644,California,CA,United States
0,Vons ,Herndon Ave,1650 Herndon Ave,Clovis,93611,(559) 297-6410,California,CA,United States
0,Vons ,Fowler Ave,3100 Fowler Ave,Clovis,93611,(559) 294-6720,California,CA,United States
0,Vons ,De Palma Rd,11800 De Palma Rd,Corona,92883,(951) 603-0809,California,CA,United States
0,Vons ,Magnolia Ave,369 Magnolia Ave,Corona,92879,(951) 549-1900,California,CA,United States
0,Vons ,N Mckinley St,535 N Mckinley St,Corona,92879,(951) 278-8012,California,CA,United States
0,Vons ,Orange St,868 Orange Ave,Coronado,92118,(619) 435-6811,California,CA,United States
0,Vons ,E 17th St,185 E 17th St,Costa Mesa,92627,(949) 515-3444,California,CA,United States
0,Vons ,B Harbor Blvd,2701 B Harbor Blvd,Costa Mesa,92626,(714) 751-4270,California,CA,United States
0,Vons ,Badillo St,932 E Badillo St,Covina,91724,(626) 967-0072,California,CA,United States
0,Vons ,Del Mar Heights Rd,2606 Del Mar Heights Rd,Del Mar,92014,(858) 755-5304,California,CA,United States
0,Vons ,Palm Dr,14200 Palm Dr,Desert Hot Springs,92240,(760) 251-1636,California,CA,United States
0,Vons ,Avocado Blvd,1201 Avocado Blvd,El Cajon,92020,(619) 440-0881,California,CA,United States
0,Vons ,N Imperial Ave,750 N Imperial Ave,El Centro,92243,(760) 353-4603,California,CA,United States
0,Vons ,El Camino Real,262 N El Camino Real,Encinitas,92024,(760) 942-4044,California,CA,United States
0,Vons ,Santa Fe Dr,453 Santa Fe Dr,Encinitas,92024,(760) 633-9770,California,CA,United States
0,Vons ,El Norte Pkwy,1000 W El Norte Pkwy,Escondido,92026,(760) 747-5920,California,CA,United States
0,Vons ,Valley Pkwy,2345 E Valley Pkwy,Escondido,92027,(760) 489-5950,California,CA,United States
0,Vons ,El Norte Pkwy,330 W El Norte Pkwy,Escondido,92026,(760) 741-0928,California,CA,United States
0,Vons ,Felicita Ave,351 W Felicita Ave,Escondido,92025,(760) 743-8860,California,CA,United States
0,Vons ,Ventura St,636 Ventura St,Fillmore,93015,(805) 524-1445,California,CA,United States
0,Vons ,Cherry Ave,7390 Cherry Ave,Fontana,92336,(909) 429-3928,California,CA,United States
0,Vons ,E Kings Canyon,5638 E Kings Canyon,Fresno,93727,(559) 458-0209,California,CA,United States
0,Vons ,Cedar Ave,8949 N Cedar Ave,Fresno,93720,(559) 438-1403,California,CA,United States
0,Vons ,Valley View St,11861 Valley View St,Garden Grove,92845,(714) 889-9955,California,CA,United States
0,Vons ,W Chapman Ave,12961 W Chapman Ave,Garden Grove,92840,(714) 750-3663,California,CA,United States
0,Vons ,Redondo Beach Blvd,1260 W Redondo Beach Blvd,Gardena,90247,(310) 767-7920,California,CA,United States
0,Vons ,Los Feliz Blvd,311 W Los Feliz Blvd,Glendale,91204,(818) 246-7161,California,CA,United States
0,Vons ,N Glendale Ave,561 N Glendale Ave,Glendale,91206,(818) 242-5926,California,CA,United States
0,Vons ,Foothill Blvd,435 W Foothill Blvd,Glendora,91741,(626) 963-2913,California,CA,United States
0,Vons ,Turnpike Rd,163 S Turnpike Rd,Goleta,93111,(805) 681-7474,California,CA,United States
0,Vons ,San Fernando Mission Blvd,16830 San Fernando Mission Blvd,Granada Hills,91344,(818) 831-8511,California,CA,United States
0,Vons ,Grand Ave,1758 W Grand Ave,Grover Beach,93433,(805) 481-0877,California,CA,United States
0,Vons ,Hacienda Blvd,2122 S Hacienda Blvd,Hacienda Heights,91745,(626) 330-4216,California,CA,United States
0,Vons ,Pier Ave,715 Pier Ave,Hermosa Beach,90254,(310) 374-4484,California,CA,United States
0,Vons ,Edinger Ave,5922 Edinger Ave,Huntington Beach,92649,(714) 846-6356,California,CA,United States
0,Vons ,Atlanta Ave,8891 Atlanta Ave,Huntington Beach,92646,(714) 960-4747,California,CA,United States
0,Vons ,Manchester Blvd,500 E Manchester Blvd,Inglewood,90301,(310) 677-0286,California,CA,United States
0,Vons ,Foothill Blvd,3233 Foothill Blvd,La Crescenta,91214,(818) 658-1018,California,CA,United States
0,Vons ,Girard Ave,7544 Girard Ave,La Jolla,92037,(858) 454-2620,California,CA,United States
